symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-03-11 00:00:00+00:00,102.26,102.28,101.5,102.24,27408237,23.8097304449,23.8143871495,23.6327756714,23.8050737403,109632948,0.0,1.0
AAPL,2016-03-14 00:00:00+00:00,102.52,102.91,101.78,101.91,25076062,23.8702676043,23.9610733433,23.6979695353,23.728238115,100304248,0.0,1.0
AAPL,2016-03-15 00:00:00+00:00,104.58,105.18,103.85,103.96,40067734,24.3499081745,24.4896093115,24.1799384579,24.205550333,160270936,0.0,1.0
AAPL,2016-03-16 00:00:00+00:00,105.97,106.31,104.59,104.61,38303493,24.6735491419,24.7527131195,24.3522365268,24.3568932314,153213972,0.0,1.0
AAPL,2016-03-17 00:00:00+00:00,105.8,106.47,104.96,105.52,34420705,24.6339671531,24.789966756,24.4383855613,24.5687732891,137682820,0.0,1.0
AAPL,2016-03-18 00:00:00+00:00,105.92,106.5,105.19,106.34,44205171,24.6619073805,24.7969518129,24.4919376638,24.7596981763,176820684,0.0,1.0
AAPL,2016-03-21 00:00:00+00:00,105.91,107.65,105.1401,105.93,35502678,24.6595790282,25.0647123254,24.4803191859,24.6642357327,142010712,0.0,1.0
AAPL,2016-03-22 00:00:00+00:00,106.72,107.29,105.21,105.25,32444375,24.8481755631,24.9808916432,24.4965943684,24.5059077775,129777500,0.0,1.0
AAPL,2016-03-23 00:00:00+00:00,106.13,107.07,105.9,106.48,25703495,24.7108027784,24.929667893,24.6572506759,24.7922951083,102813980,0.0,1.0
AAPL,2016-03-24 00:00:00+00:00,105.67,106.25,104.89,105.47,26132955,24.6036985734,24.7387430058,24.4220870953,24.5571315277,104531820,0.0,1.0
AAPL,2016-03-28 00:00:00+00:00,105.19,106.19,105.06,106.0,19411372,24.4919376638,24.7247728921,24.4616690841,24.6805341987,77645488,0.0,1.0
AAPL,2016-03-29 00:00:00+00:00,107.68,107.79,104.88,104.89,31190083,25.0716973822,25.0973092574,24.419758743,24.4220870953,124760332,0.0,1.0
AAPL,2016-03-30 00:00:00+00:00,109.56,110.42,108.6,108.65,45601149,25.5094276114,25.7096659078,25.2859057923,25.2975475537,182404596,0.0,1.0
AAPL,2016-03-31 00:00:00+00:00,108.99,109.9,108.88,109.72,25888449,25.3767115313,25.588591589,25.3510996562,25.546681248,103553796,0.0,1.0
AAPL,2016-04-01 00:00:00+00:00,109.99,110.0,108.2,108.78,25873950,25.6095467596,25.6118751119,25.192771701,25.3278161334,103495800,0.0,1.0
AAPL,2016-04-04 00:00:00+00:00,111.12,112.19,110.27,110.42,37356204,25.8726505676,26.1217842618,25.6747406235,25.7096659078,149424816,0.0,1.0
AAPL,2016-04-05 00:00:00+00:00,109.81,110.73,109.42,109.51,26578652,25.5676364185,25.7818448285,25.4768306795,25.49778585,106314608,0.0,1.0
AAPL,2016-04-06 00:00:00+00:00,110.96,110.98,109.2,110.23,26404077,25.835396931,25.8400536356,25.4256069292,25.6654272144,105616308,0.0,1.0
AAPL,2016-04-07 00:00:00+00:00,108.54,110.42,108.121,109.95,31801870,25.2719356786,25.7096659078,25.1743777179,25.6002333505,127207480,0.0,1.0
AAPL,2016-04-08 00:00:00+00:00,108.66,109.77,108.17,108.91,23581740,25.299875906,25.5583230094,25.1857866441,25.358084713,94326960,0.0,1.0
AAPL,2016-04-11 00:00:00+00:00,109.02,110.61,108.83,108.97,29407518,25.3836965882,25.7539046011,25.3394578948,25.3720548267,117630072,0.0,1.0
AAPL,2016-04-12 00:00:00+00:00,110.44,110.5,108.66,109.34,27232325,25.7143226123,25.728292726,25.299875906,25.4582038612,108929300,0.0,1.0
AAPL,2016-04-13 00:00:00+00:00,112.04,112.34,110.8,110.8,33257316,26.0868589776,26.1567095461,25.7981432945,25.7981432945,133029264,0.0,1.0
AAPL,2016-04-14 00:00:00+00:00,112.1,112.39,111.33,111.62,25473923,26.1008290913,26.1683513075,25.9215459655,25.9890681817,101895692,0.0,1.0
AAPL,2016-04-15 00:00:00+00:00,109.85,112.3,109.73,112.11,46938969,25.5769498276,26.1473961369,25.5490096002,26.1031574436,187755876,0.0,1.0
AAPL,2016-04-18 00:00:00+00:00,107.48,108.95,106.94,108.89,60821461,25.0251303366,25.3673981222,24.8993993133,25.3534280085,243285844,0.0,1.0
AAPL,2016-04-19 00:00:00+00:00,106.91,108.0,106.23,107.88,32384879,24.8924142565,25.1462046553,24.7340863012,25.1182644279,129539516,0.0,1.0
AAPL,2016-04-20 00:00:00+00:00,107.13,108.09,106.06,106.64,30611030,24.9436380067,25.1671598258,24.6945043124,24.8295487448,122444120,0.0,1.0
AAPL,2016-04-21 00:00:00+00:00,105.97,106.93,105.52,106.93,31552525,24.6735491419,24.897070961,24.5687732891,24.897070961,126210100,0.0,1.0
AAPL,2016-04-22 00:00:00+00:00,105.68,106.48,104.62,105.01,33683121,24.6060269257,24.7922951083,24.3592215837,24.4500273227,134732484,0.0,1.0
AAPL,2016-04-25 00:00:00+00:00,105.08,105.65,104.51,105.0,28031588,24.4663257887,24.5990418688,24.3336097086,24.4476989704,112126352,0.0,1.0
AAPL,2016-04-26 00:00:00+00:00,104.35,105.3,103.91,103.91,56016165,24.296356072,24.5175495389,24.1939085716,24.1939085716,224064660,0.0,1.0
AAPL,2016-04-27 00:00:00+00:00,97.82,98.71,95.68,96.0,114602142,22.7759420313,22.9831653845,22.2776746428,22.3521819158,458408568,0.0,1.0
AAPL,2016-04-28 00:00:00+00:00,94.83,97.88,94.25,97.61,82242690,22.0797646987,22.789912145,21.9447202663,22.7270466334,328970760,0.0,1.0
AAPL,2016-04-29 00:00:00+00:00,93.74,94.72,92.51,93.99,68531478,21.8259742999,22.0541528236,21.5395869691,21.884183107,274125912,0.0,1.0
AAPL,2016-05-02 00:00:00+00:00,93.64,94.08,92.4,93.965,48160104,21.8026907771,21.9051382775,21.513975094,21.8783622262,192640416,0.0,1.0
AAPL,2016-05-03 00:00:00+00:00,95.18,95.74,93.68,94.2,56831277,22.1612570286,22.2916447565,21.8120041862,21.9330785049,227325108,0.0,1.0
AAPL,2016-05-04 00:00:00+00:00,94.19,95.9,93.82,95.2,41025475,21.9307501526,22.328898393,21.8446011181,22.1659137332,164101900,0.0,1.0
