symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-10-17 00:00:00+00:00,271.78,282.7,265.8,282.4,8655500,54.356,56.54,53.16,56.48,43277500,0.0,1.0
TSLA,2018-10-18 00:00:00+00:00,263.91,271.0,263.0,269.29,5421200,52.782,54.2,52.6,53.858,27106000,0.0,1.0
TSLA,2018-10-19 00:00:00+00:00,260.0,269.66,253.5,267.39,9375500,52.0,53.932,50.7,53.478,46877500,0.0,1.0
TSLA,2018-10-22 00:00:00+00:00,260.95,261.86,252.59,260.68,5600300,52.19,52.372,50.518,52.136,28001500,0.0,1.0
TSLA,2018-10-23 00:00:00+00:00,294.14,297.93,262.1,263.87,19027800,58.828,59.586,52.42,52.774,95139000,0.0,1.0
TSLA,2018-10-24 00:00:00+00:00,288.5,304.44,285.73,301.05,20058300,57.7,60.888,57.146,60.21,100291500,0.0,1.0
TSLA,2018-10-25 00:00:00+00:00,314.86,321.0,301.01,317.22,20840700,62.972,64.2,60.202,63.444,104203500,0.0,1.0
TSLA,2018-10-26 00:00:00+00:00,330.9,339.9,306.65,308.25,27425500,66.18,67.98,61.33,61.65,137127500,0.0,1.0
TSLA,2018-10-29 00:00:00+00:00,334.85,347.16,326.5,337.47,14486000,66.97,69.432,65.3,67.494,72430000,0.0,1.0
TSLA,2018-10-30 00:00:00+00:00,329.9,337.9,322.26,328.39,9126700,65.98,67.58,64.452,65.678,45633500,0.0,1.0
TSLA,2018-10-31 00:00:00+00:00,337.32,342.0,329.1,332.54,7624300,67.464,68.4,65.82,66.508,38121500,0.0,1.0
TSLA,2018-11-01 00:00:00+00:00,344.28,347.84,334.73,338.26,8000100,68.856,69.568,66.946,67.652,40000500,0.0,1.0
TSLA,2018-11-02 00:00:00+00:00,346.41,349.2,340.91,343.74,7808000,69.282,69.84,68.182,68.748,39040000,0.0,1.0
TSLA,2018-11-05 00:00:00+00:00,341.4,343.96,330.14,340.5,7831000,68.28,68.792,66.028,68.1,39155000,0.0,1.0
TSLA,2018-11-06 00:00:00+00:00,341.06,348.8,336.09,339.07,6762900,68.212,69.76,67.218,67.814,33814500,0.0,1.0
TSLA,2018-11-07 00:00:00+00:00,348.16,351.18,340.8,343.34,7374500,69.632,70.236,68.16,68.668,36872500,0.0,1.0
TSLA,2018-11-08 00:00:00+00:00,351.4,357.58,348.44,348.5,7090700,70.28,71.516,69.688,69.7,35453500,0.0,1.0
TSLA,2018-11-09 00:00:00+00:00,350.51,354.0,345.23,349.0,5098800,70.102,70.8,69.046,69.8,25494000,0.0,1.0
